# 400 Year Reconstruction of Niño Cold Tongue and Niño Warm Pool Index
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/26270 
#       Description: Reconstructions of Niño indices
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Data_Type: Coral records
# 
# Dataset_DOI: (placeholder for eventual minting by NOAA)
#
# Parameter_Keywords: oxygen isotopes, Sr/Ca
#--------------------
# Contribution_Date
#	Date:  2019-05-06
#--------------------
# File_Last_Modified_Date
#	Date:  2019-05-06
#--------------------
# Title
#	Study_Name: Higher frequency of Central Pacific El Niño events in recent decades relative to past centuries
#--------------------
# Investigators
#	Investigators:  Freund, M. B., Henley, B. J., Karoly, D. J., McGregor, H. V., Abram, N. J. and Dommenget, D.
#--------------------
# Description_Notes_and_Keywords
#	Description: Using a network of tropical coral records, this dataset contains seasonal reconstructions of the Niño Cold Tongue (NCT) index
# 				 and the Niño Warm Pool index (NWP) based on Ren and Jin 2011 
#				 (Ren, H.-L. and Jin, F.-F.: Niño indices for two types of ENSO, Geophys. Res. Lett., 38(4), L04704, doi:10.1029/2010GL046031, 2011.) 
#			     based on sea surface temperature dataset (HadISST) from 1870 to 2017 used (http://www.metoffic.gove. uk/hadobs/hadisst/).
# 				 Please see the source publication for further details.
#				 Different season relate to the seasonal averages: 3==MAM, 6=JJA, 9=SON and 12=DJF
#--------------------
# Publication 
#	Authors: Freund, M. B., Henley, B. J., Karoly, D. J., McGregor, H. V., Abram, N. J. and Dommenget, D.
#	Published_Date_or_Year:  2019-05-06 
#	Published_Title: Higher frequency of Central Pacific El Niño events in recent decades relative to past centuries
#	Journal_Name: Nature Geoscience
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 10.1038/s41561-019-0353-3
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: 
El Niño events differ substantially in their spatial pattern and intensity. Canonical Eastern Pacific El Niño events have sea surface temperature anomalies that are strongest in the far eastern equatorial Pacific, whereas peak ocean warming occurs further west during Central Pacific El Niño events. The event types differ in their impacts on the location and intensity of temperature and precipitation anomalies globally. Evidence is emerging that Central Pacific El Niño events have become more common, a trend that is projected by some studies to continue with ongoing climate change. Here we identify spatial and temporal patterns in observed sea surface temperatures that distinguish the evolution of Eastern and Central Pacific El Niño events in the tropical Pacific. We show that these patterns are recorded by a network of 27 seasonally resolved coral records, which we then use to reconstruct Central and Eastern Pacific El Niño activity for the past four centuries. We find a simultaneous increase in Central Pacific events and a decrease in Eastern Pacific events since the late twentieth century that leads to a ratio of Central to Eastern Pacific events that is unusual in a multicentury context. Compared to the past four centuries, the most recent 30 year period includes fewer, but more intense, Eastern Pacific El Niño events.
#------------------ 
Year	Season	NCT	NWP
1617	3	0.150	0.035
1617	6	-0.344	-0.081
1617	9	-0.300	-0.071
1617	12	-0.182	-0.043
1618	3	-0.098	-0.023
1618	6	-0.038	-0.009
1618	9	0.099	0.023
1618	12	0.230	0.054
1619	3	0.079	0.019
1619	6	-0.105	-0.025
1619	9	-0.067	-0.016
1619	12	0.038	0.009
1620	3	0.003	0.001
1620	6	0.021	0.005
1620	9	0.152	0.036
1620	12	0.228	0.054
1621	3	0.068	0.016
1621	6	-0.169	-0.040
1621	9	-0.172	-0.041
1621	12	0.061	0.014
1622	3	0.159	0.037
1622	6	0.190	0.045
1622	9	0.287	0.068
1622	12	0.342	0.081
1623	3	0.220	0.052
1623	6	0.212	0.050
1623	9	0.322	0.076
1623	12	0.136	0.032
1624	3	-0.082	-0.019
1624	6	-0.143	-0.034
1624	9	-0.276	-0.065
1624	12	-0.191	-0.045
1625	3	-0.213	-0.050
1625	6	-0.412	-0.097
1625	9	-0.366	-0.086
1625	12	-0.119	-0.028
1626	3	0.012	0.003
1626	6	-0.026	-0.006
1626	9	0.070	0.016
1626	12	0.139	0.033
1627	3	0.156	0.037
1627	6	0.191	0.045
1627	9	0.069	0.016
1627	12	-0.002	-0.001
1628	3	0.074	0.017
1628	6	0.070	0.016
1628	9	0.003	0.001
1628	12	0.059	0.014
1629	3	0.116	0.027
1629	6	0.003	0.001
1629	9	-0.055	-0.013
1629	12	0.004	0.001
1630	3	-0.084	-0.020
1630	6	-0.187	-0.044
1630	9	-0.186	-0.044
1630	12	-0.039	-0.009
1631	3	-0.018	-0.004
1631	6	-0.083	-0.020
1631	9	-0.103	-0.024
1631	12	-0.153	-0.036
1632	3	-0.105	-0.025
1632	6	-0.087	-0.021
1632	9	-0.062	-0.015
1632	12	-0.070	-0.017
1633	3	-0.089	-0.021
1633	6	-0.095	-0.022
1633	9	-0.193	-0.045
1633	12	-0.066	-0.016
1634	3	0.053	0.012
1634	6	-0.093	-0.022
1634	9	-0.103	-0.024
1634	12	0.035	0.008
1635	3	-0.175	-0.202
1635	6	-0.100	-0.107
1635	9	-0.127	-0.127
1635	12	-0.196	-0.205
1636	3	-0.187	-0.252
1636	6	-0.219	-0.215
1636	9	-0.063	-0.042
1636	12	0.018	-0.002
1637	3	0.117	0.083
1637	6	0.399	0.234
1637	9	0.533	0.323
1637	12	0.437	0.383
1638	3	0.324	0.380
1638	6	0.428	0.344
1638	9	0.493	0.333
1638	12	0.313	0.188
1639	3	0.056	0.024
1639	6	-0.186	-0.078
1639	9	-0.291	-0.166
1639	12	-0.270	-0.233
1640	3	-0.293	-0.293
1640	6	-0.178	-0.277
1640	9	-0.075	-0.210
1640	12	-0.111	-0.198
1641	3	-0.052	-0.135
1641	6	0.069	-0.007
1641	9	0.120	0.089
1641	12	0.176	0.120
1642	3	0.304	0.228
1642	6	0.466	0.388
1642	9	0.473	0.379
1642	12	0.227	0.213
1643	3	0.047	0.051
1643	6	-0.157	-0.073
1643	9	-0.204	-0.159
1643	12	-0.142	-0.113
1644	3	-0.018	0.017
1644	6	0.128	0.095
1644	9	0.221	0.049
1644	12	0.075	-0.024
1645	3	-0.046	-0.057
1645	6	-0.221	-0.194
1645	9	-0.262	-0.215
1645	12	-0.191	-0.070
1646	3	-0.148	0.003
1646	6	-0.039	0.070
1646	9	0.075	0.119
1646	12	-0.012	0.010
1647	3	0.029	-0.002
1647	6	0.111	-0.032
1647	9	-0.093	-0.130
1647	12	-0.155	-0.076
1648	3	0.039	0.056
1648	6	0.157	0.118
1648	9	0.154	0.117
1648	12	-0.079	-0.056
1649	3	-0.120	-0.049
1649	6	-0.295	-0.157
1649	9	-0.478	-0.209
1649	12	-0.716	-0.194
1650	3	-0.699	-0.195
1650	6	-0.373	-0.229
1650	9	-0.201	-0.157
1650	12	-0.099	-0.058
1651	3	-0.011	-0.039
1651	6	-0.194	-0.040
1651	9	-0.139	0.011
1651	12	0.183	0.081
1652	3	0.206	0.055
1652	6	0.080	0.035
1652	9	0.346	0.135
1652	12	0.456	0.196
1653	3	0.480	0.233
1653	6	0.639	0.295
1653	9	0.464	0.228
1653	12	0.263	0.132
1654	3	0.113	0.031
1654	6	-0.194	-0.091
1654	9	-0.375	-0.136
1654	12	-0.183	-0.078
1655	3	0.008	-0.028
1655	6	0.062	-0.045
1655	9	0.069	-0.034
1655	12	0.111	-0.018
1656	3	0.086	-0.036
1656	6	-0.188	-0.121
1656	9	-0.162	-0.079
