Kalman Smoother;;;;Gaussian Process Regression;;
Year;Global Mean Sea Level (mm);standard deviation (mm);;Year;Global Mean Sea Level (mm);standard deviation (mm)
1900;-131,15;25,32;;1905;-128,56;26,19
1901;-130,50;25,17;;1915;-116,15;24,22
1902;-129,77;25,01;;1925;-101,75;21,97
1903;-128,85;24,86;;1935;-88,77;19,45
1904;-128,10;24,70;;1945;-73,58;16,40
1905;-127,56;24,55;;1955;-59,08;13,35
1906;-126,47;24,40;;1965;-58,16;11,13
1907;-125,09;24,25;;1975;-49,91;9,51
1908;-123,99;24,10;;1985;-34,97;8,19
1909;-122,61;23,95;;1995;-17,55;7,39
1910;-120,36;23,80;;2005;4,57;7,53
1911;-117,66;23,65;;;;
1912;-114,87;23,51;;;;
1913;-112,17;23,36;;;;
1914;-109,82;23,21;;;;
1915;-108,14;23,07;;;;
1916;-107,57;22,92;;;;
1917;-107,41;22,77;;;;
1918;-107,14;22,62;;;;
1919;-106,40;22,48;;;;
1920;-105,43;22,33;;;;
1921;-105,53;22,18;;;;
1922;-106,36;22,04;;;;
1923;-107,11;21,89;;;;
1924;-107,49;21,74;;;;
1925;-107,73;21,59;;;;
1926;-107,50;21,44;;;;
1927;-107,05;21,29;;;;
1928;-106,49;21,14;;;;
1929;-104,77;20,99;;;;
1930;-102,73;20,83;;;;
1931;-100,28;20,68;;;;
1932;-97,81;20,53;;;;
1933;-96,02;20,38;;;;
1934;-94,56;20,22;;;;
1935;-92,19;20,07;;;;
1936;-89,20;19,92;;;;
1937;-85,68;19,76;;;;
1938;-81,97;19,61;;;;
1939;-79,65;19,45;;;;
1940;-78,38;19,29;;;;
1941;-76,87;19,14;;;;
1942;-75,28;18,98;;;;
1943;-73,53;18,82;;;;
1944;-71,79;18,66;;;;
1945;-69,03;18,51;;;;
1946;-65,38;18,35;;;;
1947;-63,15;18,19;;;;
1948;-62,05;18,03;;;;
1949;-61,10;17,87;;;;
1950;-59,51;17,71;;;;
1951;-57,38;17,55;;;;
1952;-55,45;17,40;;;;
1953;-54,15;17,24;;;;
1954;-53,56;17,09;;;;
1955;-53,31;16,93;;;;
1956;-52,84;16,77;;;;
1957;-52,43;16,61;;;;
1958;-52,15;16,45;;;;
1959;-51,87;16,28;;;;
1960;-51,57;16,12;;;;
1961;-51,41;15,96;;;;
1962;-51,46;15,80;;;;
1963;-51,70;15,63;;;;
1964;-51,81;15,46;;;;
1965;-51,88;15,30;;;;
1966;-51,43;15,13;;;;
1967;-50,36;14,95;;;;
1968;-49,38;14,78;;;;
1969;-48,95;14,61;;;;
1970;-48,86;14,43;;;;
1971;-48,60;14,25;;;;
1972;-47,80;14,07;;;;
1973;-46,69;13,89;;;;
1974;-45,12;13,71;;;;
1975;-43,53;13,52;;;;
1976;-42,08;13,33;;;;
1977;-40,84;13,14;;;;
1978;-39,48;12,95;;;;
1979;-37,96;12,75;;;;
1980;-36,43;12,55;;;;
1981;-34,98;12,35;;;;
1982;-33,50;12,15;;;;
1983;-31,66;11,94;;;;
1984;-29,37;11,73;;;;
1985;-27,18;11,51;;;;
1986;-25,29;11,29;;;;
1987;-23,52;11,07;;;;
1988;-22,12;10,84;;;;
1989;-21,08;10,61;;;;
1990;-19,76;10,38;;;;
1991;-17,66;10,14;;;;
1992;-15,65;9,89;;;;
1993;-13,84;9,64;;;;
1994;-11,85;9,38;;;;
1995;-9,72;9,11;;;;
1996;-7,76;8,83;;;;
1997;-6,14;8,55;;;;
1998;-4,33;8,25;;;;
1999;-2,18;7,95;;;;
2000;0,00;7,63;;;;
2001;2,43;7,29;;;;
2002;5,23;6,95;;;;
2003;8,30;6,58;;;;
2004;11,71;6,19;;;;
2005;15,32;5,77;;;;
2006;19,04;5,32;;;;
2007;22,65;4,83;;;;
2008;25,64;4,29;;;;
2009;28,68;3,67;;;;
2010;32,80;2,92;;;;
