% Open solar flux
% 27-day means(Bartel Rotation Periods) for 1964-December 2018 (inclusive)
% Kinematically corrected to remove folded flux
% please acknowledge M. Lockwood, University of Reading, UK
% and cite
% M. Lockwood, M. Owens, and A.P. Rouillard (2009)
% Excess Open Solar Magnetic Flux from Satellite Data: II. A survey of kinematic effects
% J. Geophys. Res., 114, A11104, doi: 10.1029/2009JA014450
% and 
% M. Lockwood, M. Owens, and A.P. Rouillard
% Excess Open Solar Magnetic Flux from Satellite Data: I. Analysis of the 3rd Perihelion Ulysses Pass
% J. Geophys. Res., 114, A11103, doi:10.1029/2009JA014449, 2009   

%  decimal year    OSF (10^15 Wb)         B (nT)       |Br| (nT)
   1.9640314e+03             NaN   5.4350181e+00   3.0086643e+00
   1.9640969e+03             NaN   4.8313725e+00   2.1503268e+00
   1.9641707e+03             NaN             NaN             NaN
   1.9642445e+03             NaN             NaN             NaN
   1.9643182e+03             NaN             NaN             NaN
   1.9643920e+03             NaN             NaN             NaN
   1.9644658e+03             NaN             NaN             NaN
   1.9645396e+03             NaN             NaN             NaN
   1.9646133e+03             NaN             NaN             NaN
   1.9646871e+03             NaN             NaN             NaN
   1.9647609e+03             NaN             NaN             NaN
   1.9648346e+03             NaN             NaN             NaN
   1.9649084e+03             NaN             NaN             NaN
   1.9649822e+03             NaN             NaN             NaN
   1.9650561e+03             NaN             NaN             NaN
   1.9651301e+03             NaN             NaN             NaN
   1.9652041e+03             NaN             NaN             NaN
   1.9652780e+03             NaN             NaN             NaN
   1.9653520e+03             NaN             NaN             NaN
   1.9654260e+03             NaN   6.3103774e+00   3.7386792e+00
   1.9654999e+03             NaN   4.6893899e+00   2.2535809e+00
   1.9655739e+03             NaN   5.2889908e+00   2.6983945e+00
   1.9656479e+03             NaN   5.3354772e+00   2.7139004e+00
   1.9657219e+03             NaN   5.2234201e+00   2.6323420e+00
   1.9657958e+03             NaN   5.1356322e+00   2.4733716e+00
   1.9658698e+03             NaN   5.3204380e+00   2.4530414e+00
   1.9659438e+03             NaN   4.2953535e+00   1.9393939e+00
   1.9660178e+03             NaN   4.6322404e+00   2.2879781e+00
   1.9660917e+03             NaN   6.6824561e+00   2.4754386e+00
   1.9661657e+03             NaN             NaN             NaN
   1.9662397e+03             NaN             NaN             NaN
   1.9663136e+03             NaN             NaN             NaN
   1.9663876e+03             NaN             NaN             NaN
   1.9664616e+03             NaN             NaN             NaN
   1.9665356e+03   4.2150141e-01   6.3159664e+00   3.3153361e+00
   1.9666095e+03   3.6235973e-01   5.5890244e+00   2.5887805e+00
   1.9666835e+03             NaN   6.7411642e+00   3.3174636e+00
   1.9667575e+03             NaN   6.7178030e+00   2.9865530e+00
   1.9668314e+03             NaN   5.9996383e+00   3.1723327e+00
   1.9669054e+03             NaN   6.7901316e+00   3.4447368e+00
   1.9669794e+03             NaN   6.7286573e+00   3.4152305e+00
   1.9670534e+03   3.3581929e-01   6.9693380e+00   2.9322300e+00
   1.9671273e+03   2.7684681e-01   6.9630769e+00   3.0488889e+00
   1.9672013e+03   3.4259068e-01   6.0127778e+00   2.7274074e+00
   1.9672753e+03             NaN   5.7301703e+00   2.8622871e+00
   1.9673493e+03             NaN   6.6593824e+00   2.8681710e+00
   1.9674232e+03             NaN   5.5778626e+00   2.3862595e+00
   1.9674972e+03             NaN   5.3930769e+00   2.5807692e+00
   1.9675712e+03   4.2688442e-01   5.8423507e+00   3.2587687e+00
   1.9676451e+03   4.1066150e-01   6.1196891e+00   3.3309154e+00
   1.9677191e+03   3.4860863e-01   6.4590164e+00   2.9693443e+00
   1.9677931e+03   3.8068400e-01   6.4780449e+00   3.0344551e+00
   1.9678671e+03   3.6508494e-01   6.1380032e+00   3.1515298e+00
   1.9679410e+03   3.8110137e-01   6.9527778e+00   3.3388889e+00
   1.9680150e+03   2.4217374e-01   7.2280880e+00   2.6380711e+00
   1.9680887e+03   3.4616116e-01   6.9713166e+00   3.3727273e+00
   1.9681625e+03   2.2529027e-01   6.4629630e+00   2.7565657e+00
   1.9682363e+03   2.9056486e-01   5.9604134e+00   2.9370429e+00
   1.9683101e+03   3.1591131e-01   5.8734266e+00   3.2073427e+00
   1.9683838e+03   4.0766644e-01   6.5855513e+00   3.5549430e+00
   1.9684576e+03   3.3492719e-01   6.1416810e+00   3.1142367e+00
   1.9685314e+03   3.4411498e-01   5.3209386e+00   2.5415162e+00
   1.9686051e+03   3.5513245e-01   5.3998279e+00   2.7275387e+00
   1.9686789e+03   3.6774497e-01   6.1985560e+00   2.8787004e+00
   1.9687527e+03             NaN   5.2202509e+00   2.4718638e+00
   1.9688264e+03   4.9311179e-01   6.7163666e+00   3.4944354e+00
   1.9689002e+03   4.2892164e-01   6.8376000e+00   3.0804000e+00
   1.9689740e+03   3.6224411e-01   6.0578151e+00   2.6776471e+00
   1.9690479e+03   2.8574869e-01   5.6345238e+00   2.8656463e+00
   1.9691219e+03   3.1408993e-01   6.3996604e+00   2.8429542e+00
