% Open solar flux
% annual means 1864-2017 (inclusive)
% Kinematically corrected to remove folded flux
% please acknowledge M. Lockwood, University of Reading, UK
% and cite
% M. Lockwood, M. Owens, and A.P. Rouillard (2009)
% Excess Open Solar Magnetic Flux from Satellite Data: II. A survey of kinematic effects
% J. Geophys. Res., 114, A11104, doi: 10.1029/2009JA014450
% and 
% M. Lockwood, M. Owens, and A.P. Rouillard
% Excess Open Solar Magnetic Flux from Satellite Data: I. Analysis of the 3rd Perihelion Ulysses Pass
% J. Geophys. Res., 114, A11103, doi:10.1029/2009JA014449, 2009   

%  decimal year   OSF (10^15 Wb)
   1.9645000e+03             NaN
   1.9655000e+03             NaN
   1.9665000e+03             NaN
   1.9675000e+03   3.6314240e-01
   1.9685000e+03   3.4722807e-01
   1.9695000e+03   3.2142869e-01
   1.9705000e+03             NaN
   1.9715000e+03             NaN
   1.9725000e+03             NaN
   1.9735000e+03             NaN
   1.9745000e+03   4.2273833e-01
   1.9755000e+03   3.5272386e-01
   1.9765000e+03   3.2395998e-01
   1.9775000e+03   3.2743291e-01
   1.9785000e+03   3.6133409e-01
   1.9795000e+03   3.8717647e-01
   1.9805000e+03   3.7385687e-01
   1.9815000e+03   4.6604824e-01
   1.9825000e+03   5.8026098e-01
   1.9835000e+03   4.4980475e-01
   1.9845000e+03   5.1292243e-01
   1.9855000e+03   3.6285893e-01
   1.9865000e+03   3.5278580e-01
   1.9875000e+03   3.4113011e-01
   1.9885000e+03   3.8514505e-01
   1.9895000e+03   4.5710796e-01
   1.9905000e+03   4.1843269e-01
   1.9915000e+03   5.4967484e-01
   1.9925000e+03   4.5369337e-01
   1.9935000e+03   3.8098628e-01
   1.9945000e+03   3.6338666e-01
   1.9955000e+03   2.7026669e-01
   1.9965000e+03   2.7545412e-01
   1.9975000e+03   2.5107339e-01
   1.9985000e+03   3.3287045e-01
   1.9995000e+03   3.1686498e-01
   2.0005000e+03   3.3321608e-01
   2.0015000e+03   3.1389579e-01
   2.0025000e+03   3.8708598e-01
   2.0035000e+03   4.1593546e-01
   2.0045000e+03   3.1939993e-01
   2.0055000e+03   3.0321236e-01
   2.0065000e+03   2.0113517e-01
   2.0075000e+03   1.7642761e-01
   2.0085000e+03   1.7399374e-01
   2.0095000e+03   1.4948242e-01
   2.0105000e+03   1.9688093e-01
   2.0115000e+03   2.3599033e-01
   2.0125000e+03   2.2455339e-01
   2.0135000e+03   2.1033188e-01
   2.0145000e+03   2.7765794e-01
   2.0155000e+03   3.2249532e-01
   2.0165000e+03   2.6476103e-01
   2.0175000e+03   2.4473842e-01
