%% Annual open solar flux values in units of 10^14 Wb
%%            (corrected for kinematic solar wind effects)
%% column 1 - year
%% column 2 - open solar flux from model and geomagnetic activity data
%%            values after 1900 are from geomagnetic activity using the
%%            aa and m indices using the method of Lockwood et al. (2009)
%%            values before 1900 are from the model of Vieira and Solanki (2010)
%% column 3 - open solar flux from near-Earth IMF magnetometer data
%% bad/missing data code = NaN 
%%
%% when using please cite references
%% Lockwood, M., A.P. Rouillard, and I.D. Finch 
%% The rise and fall of open solar flux during the current grand solar maximum, 
%% Ap. J., 700, 937–944, 2009. doi:10.1088/0004-637X/700/2/937
%%
%% Lockwood, M., R. Stamper and M.N. Wild
%% A doubling of the sun's coronal magnetic field during the last 100 years
%% Nature, 399, 437-439, 1999
%%
%% Vieira, L.E.A. and S.K. Solanki
%% Evolution of the solar magnetic flux on time scales of years to millennia
%% Astron & Astrophys, 509(1), A100, 2010. doi: 10.1051/0004-6361/200913276 2010
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% date            OSF                  OSF
%                 from model and       from satellite
%                 geomagnetic data     IMF data  
  1.6755000e+003  6.1783232e-002             NaN
  1.6765000e+003  6.1783232e-002             NaN
  1.6775000e+003  6.1783232e-002             NaN
  1.6785000e+003  6.1783232e-002             NaN
  1.6795000e+003  6.1783232e-002             NaN
  1.6805000e+003  6.1783232e-002             NaN
  1.6815000e+003  6.1783232e-002             NaN
  1.6825000e+003  6.1783232e-002             NaN
  1.6835000e+003  6.1783232e-002             NaN
  1.6845000e+003  6.1783232e-002             NaN
  1.6855000e+003  6.1783232e-002             NaN
  1.6865000e+003  6.1783232e-002             NaN
  1.6875000e+003  6.1783232e-002             NaN
  1.6885000e+003  6.1783232e-002             NaN
  1.6895000e+003  6.1783232e-002             NaN
  1.6905000e+003  6.1783232e-002             NaN
  1.6915000e+003  6.1783232e-002             NaN
  1.6925000e+003  6.1783232e-002             NaN
  1.6935000e+003  6.1783232e-002             NaN
  1.6945000e+003  6.1783232e-002             NaN
  1.6955000e+003  6.1783232e-002             NaN
  1.6965000e+003  6.1783232e-002             NaN
  1.6975000e+003  6.1783232e-002             NaN
  1.6985000e+003  6.1783232e-002             NaN
  1.6995000e+003  6.1783232e-002             NaN
  1.7005000e+003  6.1783232e-002             NaN
  1.7015000e+003  7.2274192e-002             NaN
  1.7025000e+003  8.0830924e-002             NaN
  1.7035000e+003  1.0484674e-001             NaN
  1.7045000e+003  1.3298661e-001             NaN
  1.7055000e+003  1.5567023e-001             NaN
  1.7065000e+003  1.4940868e-001             NaN
  1.7075000e+003  1.6429251e-001             NaN
  1.7085000e+003  1.7310668e-001             NaN
  1.7095000e+003  1.8034813e-001             NaN
  1.7105000e+003  2.0236037e-001             NaN
  1.7115000e+003  2.3903927e-001             NaN
  1.7125000e+003  2.8839699e-001             NaN
  1.7135000e+003  3.4418835e-001             NaN
  1.7145000e+003  4.0299081e-001             NaN
  1.7155000e+003  4.7681948e-001             NaN
  1.7165000e+003  5.7894036e-001             NaN
  1.7175000e+003  7.0414257e-001             NaN
  1.7185000e+003  7.0710104e-001             NaN
  1.7195000e+003  8.8505227e-001             NaN
  1.7205000e+003  9.5630207e-001             NaN
  1.7215000e+003  9.3551576e-001             NaN
  1.7225000e+003  8.8984111e-001             NaN
  1.7235000e+003  8.4908213e-001             NaN
  1.7245000e+003  9.7451570e-001             NaN
