;;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;
;jan;1372,903226;3657,419355;3069,032258;2344,193548;1421,774194;4546,612903;2660;1879,032258;2348,709677;3806,290323;1908,225806;2676,258065;2910,322581;1003,516129;991,2903226;2786,225806;4105,709677;3933,258065;4455,096774;2057,903226;1806;1551,612903;993,3225806;1048,83871;2239,322581;3497,387097;2280,967742;1657,516129;2387,129032;2386,806452;2460,322581;3380;5240,774194;3553,548387;3046,903226;1858,580645;3637,290323;3595,741935;2829,354839;2079,580645;1610,580645;4076,290323;1776,677419;2790,193548;5255,322581;4529,741935;1884,193548;1722,032258;2797,870968;2709,096774;2965,741935;3141,645161;3084,612903;4884,741935;3232,741935;2406,709677;1417,580645;2910,129032;2445,548387;1704,225806;2602,064516;4924,516129;4410,483871;2973,516129;2546,677419;3351,296852;2260,350844;
;feb;2320,178571;2515,714286;2320,344828;2604,821429;1072,678571;3569,821429;1863,62069;3361,25;4445,357143;2015,178571;1764,482759;4305,714286;3778,642857;807,7142857;1431,172414;2357,964286;4185,785714;3015,785714;3144,793103;2401,357143;5630,785714;1969,678571;1128,413793;1716;2549,285714;2818,25;1831,896552;4399,785714;2389,928571;4202,321429;4667;3103,821429;3845,214286;3241,392857;4266,103448;2903,357143;1936,714286;2164,464286;4030,724138;1572,464286;3055,821429;1403,035714;1797,103448;1873,214286;3150,142857;5452,857143;1537,344828;2713,821429;1395,035714;3820,178571;3971,137931;3173,178571;4644,321429;2835,517241;2546,965517;2883,678571;1855,5;2862,857143;2173,482759;2151,678571;2439,071429;2176,535714;1930,586207;3771,178571;2422,285714;2314,21051;4085,576287;
;mrt;1774,354839;2708,387097;3200,967742;2011,129032;1485,645161;2563,225806;3019,516129;3648,387097;3836,451613;1733,709677;2264,516129;2096,483871;2290,677419;2362,16129;1607;2678,096774;2875,741935;3353,096774;2972,806452;3322,419355;4437,258065;1481,129032;909,8709677;1676,064516;2081,290323;1851,16129;1328,741935;2470,774194;4043,387097;4107,258065;1818,419355;3998,193548;2819,83871;3053,258065;1768,419355;2017,612903;2149,387097;3860;5398,16129;2699,258065;2960,741935;1873,645161;2441,709677;1329,903226;3116,032258;3847,225806;1390,032258;2977,548387;2150,870968;4750,806452;3745,16129;5004,580645;4610,935484;2242,806452;1746,709677;2311,193548;2921,483871;3608,645161;3406,83871;3269,290323;2884;1545,516129;1688,193548;2259,129032;1672,129032;2271,96813;2566,096991;
;apr;1584,5;2841,833333;3964,833333;1700,5;1743,833333;2421,333333;2061,5;2025,5;2238,5;1724;1318,5;2196,833333;3993,4;2354,766667;2019,633333;3444,466667;3857,966667;2757,333333;2614,166667;3058,3;4191,533333;1493,7;1735,633333;2103,3;1521,9;2761,8;1129,966667;2310,433333;2843,6;3091,033333;2501,266667;2781,566667;2461,966667;5080,5;2431,733333;2610,9;4135,433333;2914,766667;4605,733333;3044,266667;1604,6;1385,833333;2335,333333;1523,233333;3568,666667;3344,4;1309,933333;1569,7;2326,666667;3218,866667;2461,366667;4396,266667;2151,8;1535,866667;1774;2757,366667;4054,966667;1893,666667;3405,533333;2554,2;1905,633333;1244,133333;1647,066667;2387,333333;1260,066667;2611,391185;2517,689129;
;mei;1958,548387;1980,967742;1948,548387;1396,129032;1343,709677;1886,290323;1785,967742;1454,516129;3025,16129;1828,387097;1400,967742;2427;2567,870968;1944,193548;2061,83871;3918,193548;2942,677419;2173,774194;2875,741935;3199,354839;4750,258065;1474,967742;1540,451613;2343,612903;1312,903226;2005,870968;1167,483871;2555,645161;3186,354839;2599,774194;2140,83871;2217,225806;2163,935484;4112,451613;2287,258065;2778,516129;3156,290323;2690,83871;2554,483871;2097,645161;1447,258065;1522,225806;1912,806452;1398,258065;2608,064516;2717,193548;1544;1875,096774;1817,290323;3453,806452;2146,548387;3101,290323;2712,096774;1773,967742;2063,774194;2568,677419;2704,258065;1691,322581;2181,967742;1959,903226;1813;1026,967742;1979,193548;3097,903226;1757,16129;2668,215559;2546,78846;
;jun;1727,333333;2349,666667;1617,833333;1985,5;1561,833333;2379,166667;2330;1664,833333;2394,5;1518,333333;1662,5;3286;2130,266667;2107,7;1566;4150,266667;2473,533333;2689,5;2202,6;2674,733333;3071,8;2183,9;1831,566667;1859,833333;1589,933333;2142,866667;1271,6;1977,733333;2829,466667;2585,2;2251,3;2493,766667;2525,533333;3781,5;3276,4;2863,466667;3441,833333;4003,1;2452,833333;1494,6;1791,2;1743,366667;1984,033333;1497,7;2740,366667;3261,333333;1845,933333;1876,6;1668,6;3302,433333;2128,633333;2627,166667;2194,5;1643,3;2051,733333;1735,433333;2563,866667;2400,066667;2180,066667;1878,166667;2293;1285,366667;2272,6;3971,1;1370,2;1962,871421;4334,062207;
;jul;1367,741935;2404,354839;1359,83871;3100,967742;2182,419355;2403,225806;2732,741935;1921,451613;2327,903226;1627,903226;1819,677419;2266,483871;1736,967742;1915,16129;1056,580645;3485;3217,967742;2246,258065;1901,612903;2362,709677;2962,548387;1765,451613;1802,645161;1913,322581;2038,387097;2621,741935;953,4516129;1849,709677;2745,387097;1760,193548;4662,548387;2284,451613;2362;2033,83871;2087,064516;2230,741935;2101,451613;3445,580645;1988,935484;1557,935484;1982,612903;1856,064516;1733,483871;1873,451613;1803,709677;2197,387097;1896,516129;2575,677419;1433,548387;2472,612903;2222,064516;2308,225806;1962,612903;1249,096774;1695,774194;1580,967742;1487,451613;2629,677419;1869,290323;2131,774194;1638,064516;1642,516129;2207,419355;2083,935484;2177,580645;1427,38164;2557,826915;
;aug;1259,83871;1900;1020,645161;1794,193548;2052,580645;2179,193548;2459,677419;2030,322581;2124,516129;1276,129032;2507,580645;2195;1469,419355;1616,516129;918,8064516;2529,064516;2866,387097;1819,387097;2583,903226;1900,483871;2530,032258;1298,387097;1708,096774;1682,451613;1639,677419;1963,612903;1141,193548;2061,354839;2272,387097;1588,354839;2511,903226;2338,967742;2206,903226;1465,645161;1798,451613;1745,709677;1622,580645;2822,483871;1485,645161;1477,096774;1137,741935;1330,806452;1225,612903;1591,193548;1416,612903;1570,16129;1541;1834,258065;1167,258065;1781,774194;2144,387097;1718;2113,451613;1003,258065;1535,774194;1826,677419;1625,032258;2976,290323;1791,709677;1655,709677;2392,580645;1711,806452;1339;1566,83871;2551,419355;1175,107069;1790,780922;
;sep;1546,166667;1453,5;1130,5;1079,5;2206;1681,333333;2616;2173,166667;1610,833333;920,1666667;2377,833333;1528,7;1212,733333;1708,933333;952,5;2630,333333;2055,166667;1818,3;3325;2086,233333;2059,266667;1159,6;1219,466667;1121,8;1313,5;2047,833333;1020,9;1641,366667;1538,4;1375,6;1689,866667;1612,466667;1604,5;1574,933333;2425,266667;1658,133333;1685,5;2039,133333;1595,066667;1289,666667;1135,766667;874,1;1199,7;1717,133333;1801,3;2088,6;1294,966667;1363,366667;2067,266667;1355,566667;1804,9;2216,1;1786,6;930,5666667;1494,633333;1772,5;1886,666667;1952,566667;1763,966667;1123,333333;2148,566667;1351,3;1505,133333;1700,566667;1906,533333;1170,550578;1293,328441;
;okt;1269,83871;1060,483871;1729,516129;968,2258065;2764,354839;1250;2254,354839;1988,064516;1878,064516;750,8064516;2594,354839;1216,806452;936,2580645;1615,870968;1086,290323;1761,064516;1473,064516;1635,774194;3679,709677;1110,774194;1967,387097;887,9354839;875,483871;1358,451613;2276,483871;1404,677419;1067,741935;1133,548387;1501;1257,967742;1607,096774;3606,419355;2541,354839;1248,709677;2854,774194;997,7419355;1632;2145,580645;1882,032258;1087,580645;1186,419355;1097,483871;1115,16129;2481,290323;1363,225806;1550,322581;1469,580645;1176,903226;2459,516129;1727,741935;1939,354839;1870,129032;2414,774194;1276,225806;1536,806452;1308,096774;2116,290323;1546,258065;1484,322581;1052,129032;1558,967742;1375,806452;1960,83871;2111,483871;1718,129032;1066,056624;1078,39514;
